"id","blog_content_id","no","name","title","status","parent_id","lft","rght","owner_id","created","modified"
"1","1","1","event","イベント","1","","1","2","","2015-02-03 22:14:18","2015-04-21 11:47:38"
"4","2","1","course","講座","","","3","4","","2015-03-11 22:44:48","2015-03-11 22:44:48"
"5","2","2","qualifying_exam","資格検定","","","5","6","","2015-03-11 22:45:23","2015-03-11 22:45:23"
"6","3","1","category-a","カテゴリA","","","7","8","","2015-03-26 13:26:54","2015-09-26 14:35:09"
"7","3","2","category-b","カテゴリB","","","9","10","","2015-03-26 13:27:29","2015-09-26 14:35:23"
"8","2","3","security","セキュリティ","","","11","12","","2015-03-27 15:16:51","2015-03-27 15:16:51"
"9","2","4","cloud","クラウド","","","13","14","","2015-03-27 15:17:51","2015-03-27 15:17:51"
"10","2","5","management","プロジェクト管理","","","15","16","","2015-03-27 15:18:57","2015-03-27 15:18:57"
"11","2","6","consultant","コンサルタント","","","17","18","","2015-03-27 15:19:56","2015-03-27 15:19:56"
"12","2","7","facilitation","ファシリテーション","","","19","20","","2015-03-27 15:21:28","2015-03-27 15:21:28"
"13","2","8","uiux","UI / UX","","","21","22","","2015-03-27 15:22:11","2015-03-27 15:22:11"
"14","2","9","Unity","Unity","","","23","24","","2015-03-27 15:23:44","2015-03-27 15:23:44"
"15","1","2","subscription","公募","","","25","26","","2015-04-21 11:48:56","2015-04-21 11:48:56"
"16","4","1","mokumogulunch","MokuMoguランチ","","","27","28","","2015-05-24 16:44:33","2015-05-26 13:27:36"
"17","1","3","activity","AIPの活動","","","29","30","","2015-05-26 13:29:12","2015-05-26 13:29:12"
"18","4","2","%E5%90%88%E5%90%8C%E6%96%B0%E4%BA%BA%E7%A0%94%E4%","合同新人研修","","","31","32","","2015-06-01 10:37:19","2015-06-01 10:37:19"
"19","4","3","AIPCafe","AIPCafe","","","33","34","","2015-06-18 15:30:15","2015-06-18 15:30:15"
"20","2","10","%E5%93%81%E8%B3%AA","品質","","","35","36","","2015-06-19 09:49:59","2015-06-19 09:49:59"
"21","2","11","DevOpe","DevOpe","","","37","38","","2015-06-19 12:29:48","2015-06-19 12:29:48"
"22","4","4","%E8%AC%9B%E5%BA%A7","講座","","","39","40","","2015-06-25 13:53:16","2015-06-25 13:53:16"
"23","2","12","%E3%83%9E%E3%83%8D%E3%82%B8%E3%83%A1%E3%83%B3%E3%","マネジメント","","","41","42","","2015-07-25 12:42:56","2015-07-25 12:42:56"
"24","4","5","%E3%83%9E%E3%83%8D%E3%82%B8%E3%83%A1%E3%83%B3%E3%","マネジメント","","","43","44","","2015-08-11 15:18:11","2015-08-11 15:18:11"
"25","2","13","%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%86%E3%82%A3%E3%","マーケティング","","","45","46","","2015-08-24 18:01:58","2015-08-24 18:01:58"
"26","4","6","%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88","イベント","","","47","48","","2015-09-01 15:48:48","2015-09-01 15:48:48"
