"id","sort","name","title","description","contents","page_category_id","status","url","draft","author_id","publish_begin","publish_end","exclude_search","code","unlinked_mobile","unlinked_smartphone","modified","created"
"1","1","index","","","","","1","/index","<div class=""row"">
<div class=""hide-on-med-and-up center-align""><img alt="" "" src=""_shared/img/sp/home-logo.png"" /></div>

<h2 class=""hide-on-med-and-up h2-center"">AIPの人材育成を支える3つの柱</h2>

<div class=""col s12 m4"" id=""aip_community"">
<div class=""hide-on-small-only center-align""><a href=""#""><img alt="""" src=""_shared/img/home/a.png"" /> </a></div>

<h3><a href=""#"">コミュニティ<small class=""hide-on-med-and-up"">コミュニティ支援</small></a></h3>

<div class=""hide-on-small-only"">
<p><a href=""#"">テキストが入ります。テキストが入ります。テキストが入ります。</a></p>

<p class=""btn""><a href=""#"">コミュニティ支援について</a></p>
</div>
</div>

<div class=""col s12 m4"" id=""aip_business"">
<div class=""hide-on-small-only center-align""><a href=""#""><img alt="""" src=""_shared/img/home/i.png"" /> </a></div>

<h3><a href=""#"">ビジネス<small class=""hide-on-med-and-up"">プロジェクト支援</small></a></h3>

<div class=""hide-on-small-only"">
<p><a href=""#"">プロジェクトを実施することにより経験を積んでいきます</a></p>

<p class=""btn""><a href=""#"">プロジェクト支援について</a></p>
</div>
</div>

<div class=""col s12 m4"" id=""aip_education"">
<div class=""hide-on-small-only center-align""><a href=""#""><img alt="""" src=""_shared/img/home/p.png"" /> </a></div>

<h3><a href=""#"">教育<small class=""hide-on-med-and-up"">教育事業</small></a></h3>

<div class=""hide-on-small-only"">
<p><a href=""#"">最前線でビジネスを行うメンバーが講師というのも特徴です</a></p>

<p class=""btn""><a href=""#"">教育事業について</a></p>
</div>
</div>
</div>

<div class=""row"">
<div class=""col s12 m3"">
<ul class=""aside sp_list"">
<li class=""aip_blue""><a class=""waves-effect waves-light"" href=""#""><strong>AIPの紹介</strong> </a>

<p><a class=""waves-effect waves-light"" href=""#"">福岡に根ざし、ITの利活用を通してコミュニティと街をつくるNPOです。</a></p>
<a class=""waves-effect waves-light"" href=""#""> </a>

<div class=""center-align"">
<p class=""btn hide-on-small-only""><a class=""waves-effect waves-light"" href=""#"">詳しくはこちら </a></p>
</div>
<a class=""waves-effect waves-light"" href=""#""> </a></li>
<li class=""aip_red""><a class=""waves-effect waves-light"" href=""#""><strong>AIPカフェ</strong> </a>
<p><a class=""waves-effect waves-light"" href=""#"">勉強会や交流会の場。<br />
AIPが提供するコミュニティスペースです。</a></p>
<a class=""waves-effect waves-light"" href=""#""> </a>

<div class=""center-align"">
<p class=""btn hide-on-small-only""><a class=""waves-effect waves-light"" href=""#"">詳しくはこちら </a></p>
</div>
<a class=""waves-effect waves-light"" href=""#""> </a></li>
<li><a class=""waves-effect waves-light"" href=""#""><strong>AIPへの協力・支援者募集中！</strong> </a>
<p><a class=""waves-effect waves-light"" href=""#"">福岡を元気にする人材づくりを担うAIPへのご協力をお願いします！</a></p>
<a class=""waves-effect waves-light"" href=""#""> </a>

<div class=""center-align"">
<p class=""btn hide-on-small-only""><a class=""waves-effect waves-light"" href=""#"">詳しくはこちら </a></p>
</div>
<a class=""waves-effect waves-light"" href=""#""> </a></li>
</ul>
</div>

<div class=""col s12 m9"">
<h2 class=""title_more"">新着講座<span class=""hide-on-small-only""><a href=""#"">講座一覧</a></span></h2>

<ul class=""newsfeed sp_list"">
<li><a href=""#"">講座タイトルが入ります講座タイトルが入ります講座タイトルが入ります</a><br />
<small>2015年00月00日（曜日）</small></li>
<li><a href=""#"">講座タイトルが入ります講座タイトルが入ります講座タイトルが入ります</a><br />
<small>2015年00月00日（曜日）</small></li>
<li><a href=""#"">講座タイトルが入ります講座タイトルが入ります講座タイトルが入ります</a><br />
<small>2015年00月00日（曜日）</small></li>
<li><a href=""#"">講座タイトルが入ります講座タイトルが入ります講座タイトルが入ります</a><br />
<small>2015年00月00日（曜日）</small></li>
<li><a href=""#"">講座タイトルが入ります講座タイトルが入ります講座タイトルが入ります</a><br />
<small>2015年00月00日（曜日）</small></li>
</ul>

<ul class=""snsBtn"">
<li class=""snsFb waves-effect btn-flat""><a href=""#"">シェアする</a></li>
<li class=""snsTw waves-effect btn-flat""><a href=""#"">ツイートする</a></li>
</ul>
</div>
</div>
<!-- row -->","1","","","","","","","2015-09-26 14:32:20","2015-02-03 22:14:16"
"5","6","index","","","<hr size=""1"" style=""width:100%;height:1px;margin:2px 0;padding:0;color:#CCCCCC;background:#CCCCCC;border:1px solid #CCCCCC;"" />
<div style=""text-align:center;background-color:#8ABE08;""> <span style=""color:white;"">メインメニュー</span> </div>
<hr size=""1"" style=""width:100%;height:1px;margin:2px 0;padding:0;color:#CCCCCC;background:#CCCCCC;border:1px solid #CCCCCC;"" />
<span style=""color:#8ABE08"">■</span>
<?php $this->BcBaser->link(""ニュースリリース"",array(""controller""=>""news"",""action""=>""index"")) ?>
<br />
<span style=""color:#8ABE08"">■</span>
<?php $this->BcBaser->link(""お問い合わせ"",array(""controller""=>""contact"",""action""=>""index"")) ?>
<hr size=""1"" style=""width:100%;height:1px;margin:2px 0;padding:0;color:#CCCCCC;background:#CCCCCC;border:1px solid #CCCCCC;"" />
<div style=""text-align:center;background-color:#8ABE08;""> <span style=""color:white;"">NEWS RELEASE</span> </div>
<hr size=""1"" style=""width:100%;height:1px;margin:2px 0;padding:0;color:#CCCCCC;background:#CCCCCC;border:1px solid #CCCCCC;"" />
<?php $this->BcBaser->blogPosts('news', 5) ?> <div>&nbsp;</div>
<hr size=""1"" style=""width:100%;height:1px;margin:2px 0;padding:0;color:#CCCCCC;background:#CCCCCC;border:1px solid #CCCCCC;"" />
<div style=""text-align:center;background-color:#8ABE08;""> <span style=""color:white;"">baserCMS NEWS</span> </div>
<hr size=""1"" style=""width:100%;height:1px;margin:2px 0;padding:0;color:#CCCCCC;background:#CCCCCC;border:1px solid #CCCCCC;"" />
<?php $this->BcBaser->feed(1) ?>","1","1","/mobile/index","","1","","","","","","","","2015-02-03 22:14:16"
"6","7","index","","","<div id=""news"" class=""clearfix"">
<div class=""news"" style=""margin-right:28px;"">
<h2 id=""newsHead01"">NEWS RELEASE</h2>
<div class=""body"">
<?php $this->BcBaser->blogPosts('news', 5) ?>
</div>
</div>
<div class=""news"">
<h2 id=""newsHead02"">baserCMS NEWS</h2>
<div class=""body"">
<?php $this->BcBaser->js('/s/feed/ajax/1') ?>
</div>
</div>
</div>","2","1","/smartphone/index","","1","","","","","","","","2015-02-03 22:14:16"
"7","8","about","会社案内","baserCMS inc.の会社案内ページ","<h2 class=""contents-head"">会社案内</h2>
<h3 class=""contents-head"">会社データ</h3>
<div class=""section"">
<table class=""row-table-01"" cellspacing=""0"" cellpadding=""0"">
<tr><th width=""150"">会社名</th><td>baserCMS inc.  [デモ]</td></tr>
<tr><th>設立</th><td>2009年11月</td></tr>
<tr><th>所在地</th><td>福岡県福岡市博多区博多駅前（ダミー）</td></tr>
<tr><th>事業内容</th><td>インターネットサービス業（ダミー）<br />
WEBサイト制作事業（ダミー）<br />
WEBシステム開発事業（ダミー）</td></tr>
</table>
</div>
<h3 class=""contents-head"">アクセスマップ</h3>
<div class=""section"">
<?php $this->BcBaser->googleMaps(array(""width"" => 585)) ?>
</div>","2","1","/smartphone/about","","1","","","","","","","","2015-02-03 22:14:16"
"8","9","service","サービス","baserCMS inc.のサービス紹介ページ。","<h2 class=""contents-head"">サービス</h2>
<div class=""section"">
<p>
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
</p>
</div>
<div class=""section"">
<p>
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
</p>
</div>
<div class=""section"">
<p>
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。
</p>
</div>","2","1","/smartphone/service","","1","","","","","","","","2015-02-03 22:14:16"
"9","10","sitemap","サイトマップ","baserCMS inc.のサイトマップページ","<h2 class=""contents-head"">サイトマップ</h2>
<?php $this->BcBaser->sitemap() ?>
<ul class=""section sitemap"">
	<li><?php $this->BcBaser->link(""新着情報"",""/s/news/index"") ?></li>
	<li><?php $this->BcBaser->link(""お問い合わせ"",""/s/contact/index"") ?>	</li>
</ul>","2","1","/smartphone/sitemap","","1","","","","","","","","2015-02-03 22:14:16"
"10","11","icons","アイコンの使い方","50種類のアイコンを自由にカスタマイズしよう。","<h2>
	アイコンの使い方</h2>
<h3>
	50種類のアイコンを自由にカスタマイズしよう。</h3>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	まずは、<a href=""http://basercms.net/files/extra/nada-works-png.zip"">nada-works-png.zip</a> をダウンロードして解凍します。</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	icons_ico_.pngをFireworksで開くと下記の50種類のアイコンがレイヤー分けされています。</p>
<p>
	&nbsp;</p>
<p style=""text-align: center;"">
	<?php $this->BcBaser->img('icons/about_001.png', array('style' => 'width: 656px; height: 250px;')) ?></p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	カスタマイズ1：ベースの形を変える。</p>
<p style=""text-align: center;"">
	<?php $this->BcBaser->img('icons/about_002.png', array('style' => 'width: 656px; height: 93px;')) ?></p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	カスタマイズ2：色を変える。</p>
<p style=""text-align: center;"">
	<?php $this->BcBaser->img('icons/about_003.png', array('style' => 'width: 656px; height: 93px;')) ?></p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	カスタマイズ3：パスを使って変形させる。（上級者向け）<br />
	パスで作成しています。自由に変形させることが可能です。</p>
<p>
	&nbsp;</p>
<p style=""text-align: center;"">
	<?php $this->BcBaser->img('icons/about_004.png', array('style' => 'width: 193px; height: 186px;')) ?></p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	パターン例：各コンテンツで色を変える。同じアイコンを使用する、など</p>
<p style=""text-align: center;"">
	<?php $this->BcBaser->img('icons/about_005.png', array('style' => 'width: 656px; height: 215px;')) ?></p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<h3>
	文字と写真を変えるだけで完成！かんたんバナーを作ろう。</h3>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	icons_banner_00.png、icons_banner_l_00.pngをFireworksで開くと各要素をレイヤー分けされています。<br />
	言葉、フォント、色、画像を変更してオリジナルのバナーを作成することができます。<br />
	画像は「シンボル」にて配置しています。差し替えたい画像をシンボル化し、「シンボルを入れ替え」にて差し替えてご使用ください。</p>
<p>
	&nbsp;</p>
<p style=""text-align: center;"">
	<?php $this->BcBaser->img('icons/about_006.png', array('style' => 'width: 656px; height: 302px;')) ?></p>
<p>
	&nbsp;</p>
<p>
	例：言葉、フォントの変更、画像差し替え</p>
<p>
	&nbsp;</p>
<p style=""text-align: center;"">
	<?php $this->BcBaser->img('icons/about_007.png', array('style' => 'width: 656px; height: 278px;')) ?></p>","2","1","/smartphone/icons","","1","","","","","","","","2015-02-03 22:14:16"
"11","12","index","プロジェクト支援","","<div class=""row"">
<div class=""col s12 m12 l8 offset-l2"">
<p>どんなに「知識」を得ても、どんなにコミュニティを通じて仲間が出来て、そこで「人間性」を磨いても、実際に実務に携わらないと、その知識や人間性は絵に描いた餅となってしまいます。 そこでAIPでは、実際に私たちが住んでいる福岡という街をITコミュニティの力を通じて、より住みやすく、より楽しくなるような、プロジェクトを実際に実施する主体として活動してきています。 これが、AIPの理念の３つめである「経験」を積むための「プロジェクト支援」です。</p>
</div>
</div>

<div class=""row project"">
<h2><span>AIPのプロジェクト支援実績</span></h2>

<div class=""col s12 m6""><strong class=""status-now"">進行中</strong>

<h3>天神・大名WiFi化プロジェクト</h3>

<p><img align="""" alt=""天神・大名WiFi化プロジェクトロゴ"" src=""/files/uploads/tenjin_wifi_logo.gif"" /></p>

<p>ITコミュニティの力で福岡をより住みやすく、より楽しくしたい「AIP」の理念と、日本でWiFiデンシティ（密集地）都市をITコミュニティの力を借りて作りたいFON JAPAN　の思いが重なり、日本で初めて、「街をまるごとWiFi化」するプロジェクトが、通信会社でも、自治体でもなく、ITコミュニティとNPO主導で始まりました。</p>

<p>西日本新聞の一面で取り上げられるなどの反響が反響を呼び、最終的には120箇所のWiFiスポットを、天神・大名地域につくることが出来、この中で築いた商店街とのネットワークが次なるプロジェクト「大名なう」へつながることになります。</p>

<p>このプロジェクトの狙いや思いについては、コミュニティメンバーが <a href=""/files/uploads/tenjinwifi21.gif"" target=""_blank"">素敵なイラストで表現</a>してくれていますので、是非ごらんください。</p>
</div>

<div class=""col s12 m6""><strong class=""status-now"">進行中</strong>

<h3>大名なう</h3>

<p><img align="""" alt=""大名なう webサイトスクリーンショット"" src=""/files/uploads/daimyo_now.jpg"" /></p>

<p>天神・大名WiFi化プロジェクトでつながった商店街の皆さんと、ITを使って大名地域をもっと盛り上げたい、お客さんに来てほしい、ということで「天神・大名WiFi化プロジェクト」名義で始まったプロジェクトです。<br />
その頃日本でブレイクしはじめたTwitterを使って、街の情報を発信すれば、IT利用に興味が無い商店街の方も、気軽に使えるのではないか、ということで、大名のお店に「#daimyo 」というハッシュタグを使ってTwitterで呟いてもらうプロジェクトを開始しました。<br />
こちらは、「日本初の Twitterによる地域街おこし」としてテレビの全国放送にも取り上げられることになり、活動開始から二ヶ月は毎週何らかの取材、TVへの出演などを果たすことになり、多くの参加店が、直接的な売上げの向上のみならず、新規顧客の獲得、参加店の間のコミュニティ組成による、新規イベント発生などの効果をえることが出来ました。<br />
概要については、情報白書に取り上げられているので、そちらをご覧ください。<br />
なお、このプロジェクトは現在でも、新しいSNSの勉強会などのかたち（「大名なう勉強会」）などで続いています。</p>
</div>
</div>","3","1","/project/index","","1","","","","<?php $this->layout = '1col' ?>","","","2015-05-27 14:03:05","2015-03-11 22:15:10"
"12","13","index","コミュニティ支援","","<div class=""row"">
<div class=""col s12 m12 l8 offset-l2"">
<p>AIPの理念の一つ「人間性」を育む場がコミュニティです。<br />
教育の大きな核となるITコミュニティへの支援の具体的な活動として、ITコミュニティがまだ全国的にも無かった10年以上前から「AIPコミュニティ」を設立し運営を行い、<br />
コミュニティの勉強会や意見交換が出来る場として、現在のシェアカフェにつながるようなコンセプトの「AIPCafe」を運営し、<br />
さらに実ビジネスをコミュニティベースで行う実験として（この活動は現在ではコミュニティ経済と言われる概念の走りである）人と街を繋げる「天神・大名WiFi化協議会」や「大名なう」などの活動を実施してきました。</p>

<p>この活動の中で培った、コミュニティ運営、場作り、地域活性などのノウハウを活かし、様々な支援を行っています。</p>
</div>
</div>

<div class=""row project"">
<h2><span>AIPのコミュニティ支援実績</span></h2>

<div class=""col s12 m6 l4""><img align="""" alt=""CodeForFukuoka"" src=""/files/uploads/CodeForFukuoka.jpg"" /> <strong class=""status-now"">継続中</strong>

<h3>CODE FOR FUKUOKA</h3>

<p>支援内容：運営、会場提供、広報</p>

<ul>
	<li><a href=""http://code4fukuoka.org/"" target=""_blank"">CodeForFukuoka公式サイト</a></li>
</ul>
</div>

<div class=""col s12 m6 l4""><img align="""" alt=""Startup Cafe"" src=""/files/uploads/StartupCafe.jpg"" /> <strong class=""status-now"">継続中</strong>

<h3>スタートアップカフェ</h3>

<p>支援内容：アンバサダーコンシェルジュとして起ち上げ、企画、運営をサポート</p>

<ul>
	<li><a href=""http://www.startupcafe.jp/"" target=""_blank"">スタートアップカフェ公式サイト</a></li>
</ul>
</div>

<div class=""col s12 m6 l4""><img alt="""" src=""/_shared/img/no-picture.png"" /> <strong class=""status-now"">継続中</strong>

<h3>StartupSupporters</h3>

<h4>支援内容</h4>

<p>運営、会場提供</p>
<!-- <ul>
<li><a href=""http://hogehoge"">プロジェクト公式サイト</a></li>
</ul> --></div>
</div>

<div class=""row"">
<h2><span>支援したコミュニティ一覧</span></h2>

<div class=""col s12 m6 l4"">
<ul>
	<li>FWW(Fukuoka Web Workers)</li>
	<li>Ruby Business Commons</li>
	<li>ソフトウェアビジネスラボ</li>
	<li>WordBench福岡</li>
	<li>水曜どうしよう</li>
</ul>
</div>

<div class=""col s12 m6 l4"">
<ul>
	<li>大名なう勉強会</li>
	<li>合同新人研修コミュニティ</li>
	<li>TechWave塾コミュニティ</li>
	<li>福岡県情報サービス産業協会(FISA)</li>
	<li>ふくあず</li>
</ul>
</div>

<div class=""col s12 m6 l4"">
<ul>
	<li>StartupSupprtersコミュニティ</li>
	<li>Fukuoka Frontend Frogs</li>
	<li>Code For Fukuoka</li>
</ul>
</div>
</div>","4","1","/community/index","","1","","","","<?php $this->layout = '1col' ?>","","","2015-04-07 21:06:50","2015-03-11 22:16:23"
"13","14","index","教育事業","","<div class=""row"">
<div class=""col s12 m12 l8 offset-l2"">
<p>AIPの理念の一つ「知識」を得る場としてコミュニティ形成も軸に置いた合同新人研修をはじめ、これから必ず必要になるであろう知識・技術、コアメンバー育成のためのキャリア教育など、NPOだからこそできる特色ある講座をご用意しています。</p>

<p>どの講座も最前線でビジネスを行っているコミュニティメンバーが講師となり、そのノウハウを落とし込んだまさに実ビジネスのためのカリキュラムです。</p>

<p>また単なる講座を提供するだけでなく、将来のコアメンバー育成のための教育によるキャリアフォローをご提案しています。合同新人研修から始まり、フォローアップ研修、３年目教育、マネージャ育成とコアメンバーに必要となる様々な教育を実ビジネスに沿った内容でご提供いたします。</p>
</div>
</div>

<div class=""row flatH-col-p"">
<h2><span>AIPの教育事業</span></h2>

<div class=""col s12 m4"">
<div class=""center-align""><img alt="""" src=""/_shared/img/education/i-orientation.png"" />
<h3 class=""bg-none"">新人教育</h3>
</div>

<p>AIPの新人研修にかける想いは２つ、<br />
「高い品質の教育を福岡で提供したい」<br />
「新人の頃から多くの絆を作れる場を提供したい」です。<br />
この想いを元に2005年から毎年合同新人研修を実施しています。<br />
高い品質とリーズナブルな価格、そして将来のコアメンバー育成の為の幅広い内容とコミュニティ育成。<br />
一企業では実現が難しい事でも、多くの企業が協力して運営するNPOのAIPだからこそできる教育です。</p>

<div class=""center-align""><a class=""waves-effect waves-light btn small green"" href=""/education/orientation"">新人教育の詳細</a></div>
</div>

<div class=""col s12 m4 flatH-col-p"">
<div class=""center-align""><img alt="""" src=""/_shared/img/education/i-course.png"" />
<h3 class=""bg-none"">講座</h3>
</div>

<p>AIPがご提供する講座は座学だけでなく、ハンズオンを伴う実践型講座です。<br />
説明を聴いて終わりではなく、実際に頭と手を動かして頂いて、講座終了後も自らの手で学習を進めていけるきっかけをしっかりとご提供します。<br />
特定の技術をターゲットとした講座から、UI/UX、品質向上、マネジメントやファシリテーションなど幅広く、そして実ビジネスに活用できる内容ばかりです。</p>

<div class=""center-align""><a class=""waves-effect waves-light btn small green"" href=""/course/index"">講座一覧</a></div>
</div>

<div class=""col s12 m4"">
<div class=""center-align""><img alt="""" src=""/_shared/img/education/i-teacher.png"" />
<h3 class=""bg-none"">講師</h3>
</div>

<p>AIPの教育事業は、講師として多くの企業様、コミュニティからのご協力を頂いています。<br />
講師陣の確かなノウハウと多くの経験は、講座を通じて必ず皆様のビジネスにお役に立つものだと考えております。</p>

<div class=""center-align""><a class=""waves-effect waves-light btn small green"" href=""/teacher/index"">講師一覧</a></div>
</div>
</div>","5","1","/education/index","","1","","","","<?php $this->layout = '1col' ?>","","","2015-04-02 16:28:46","2015-03-11 22:17:10"
